loss,rmse,smape,val_loss,val_rmse,val_smape,learning_rate
0.197339728474617,0.3083072900772095,1.1671583652496338,0.05481860786676407,0.2502240836620331,0.7835835814476013,0.0010000000474974513
0.11614206433296204,0.2392386496067047,0.7669475078582764,0.04745053872466087,0.22874099016189575,0.7254518270492554,0.0010000000474974513
0.1055011972784996,0.22757335007190704,0.7344328761100769,0.0470527820289135,0.22733959555625916,0.7290361523628235,0.0010000000474974513
0.10389097779989243,0.22594158351421356,0.7316271066665649,0.04617850482463837,0.22593346238136292,0.7230492234230042,0.0010000000474974513
0.10210312157869339,0.22385013103485107,0.7256306409835815,0.045747656375169754,0.2257990539073944,0.7199748754501343,0.0010000000474974513
0.10241961479187012,0.2243352234363556,0.7267781496047974,0.04570016637444496,0.22514396905899048,0.717840313911438,0.0010000000474974513
0.10114309936761856,0.2226347178220749,0.72444087266922,0.04580211639404297,0.2254064381122589,0.7197792530059814,0.0010000000474974513
0.10074808448553085,0.2224387526512146,0.7244716882705688,0.045926548540592194,0.2257186770439148,0.7212507724761963,0.0010000000474974513
0.1013016551733017,0.22296929359436035,0.7252797484397888,0.04602978378534317,0.2255035638809204,0.7213906645774841,0.0010000000474974513
0.10052843391895294,0.22227394580841064,0.7246595621109009,0.045984815806150436,0.22557216882705688,0.7207150459289551,0.0010000000474974513
0.10042670369148254,0.22202710807323456,0.7225794196128845,0.04594875127077103,0.2255503237247467,0.7205648422241211,0.0005000000237487257
0.10034090280532837,0.22180074453353882,0.7234289646148682,0.04592140391469002,0.22558972239494324,0.7206869125366211,0.0005000000237487257
0.10003958642482758,0.2215542197227478,0.7216291427612305,0.04598112031817436,0.2255740463733673,0.7205995321273804,0.0005000000237487257
0.10023327171802521,0.22175151109695435,0.7231051325798035,0.04605874791741371,0.22561906278133392,0.720449686050415,0.0005000000237487257
0.09980198740959167,0.22144797444343567,0.7236510515213013,0.046167705208063126,0.22586697340011597,0.7218674421310425,0.0005000000237487257
0.0997297540307045,0.2213597148656845,0.723436713218689,0.04608067125082016,0.22574138641357422,0.7209826707839966,0.0002500000118743628
