loss,rmse,smape,val_loss,val_rmse,val_smape,learning_rate
0.17197285592556,0.28833770751953125,1.0539426803588867,0.05920236185193062,0.25101184844970703,0.7606155872344971,0.0010000000474974513
0.11443517357110977,0.23691508173942566,0.7522031664848328,0.048048488795757294,0.2313043177127838,0.7287108898162842,0.0010000000474974513
0.10454150289297104,0.22636693716049194,0.7312272191047668,0.04725006967782974,0.22728556394577026,0.7242797613143921,0.0010000000474974513
0.10227014869451523,0.22438660264015198,0.7285017967224121,0.047495607286691666,0.2273278534412384,0.7227712869644165,0.0010000000474974513
0.10199353098869324,0.22365763783454895,0.7283607721328735,0.04624166339635849,0.22533223032951355,0.7181986570358276,0.0010000000474974513
0.10082023590803146,0.22230681777000427,0.7245453000068665,0.04666898772120476,0.225658118724823,0.7194491624832153,0.0010000000474974513
0.10047716647386551,0.22189399600028992,0.7240670323371887,0.04657408222556114,0.2256820797920227,0.7209354639053345,0.0010000000474974513
0.10071665048599243,0.22209127247333527,0.7239946126937866,0.0465397834777832,0.22599419951438904,0.7221845388412476,0.0010000000474974513
0.10044177621603012,0.22197800874710083,0.724488377571106,0.04660864919424057,0.2257876992225647,0.7207784056663513,0.0010000000474974513
0.1003294438123703,0.2217845618724823,0.7240647077560425,0.04670760780572891,0.22591298818588257,0.7211533784866333,0.0010000000474974513
0.09972209483385086,0.22104763984680176,0.7222674489021301,0.04653336852788925,0.22578966617584229,0.720748782157898,0.0005000000237487257
0.09980221837759018,0.2211325466632843,0.722435474395752,0.046479228883981705,0.2255656123161316,0.7203468084335327,0.0005000000237487257
0.09943325072526932,0.2207932472229004,0.722217321395874,0.04658616706728935,0.22581052780151367,0.7208897471427917,0.0005000000237487257
0.09962920844554901,0.22107718884944916,0.7225403785705566,0.04668734595179558,0.2259189337491989,0.7211363315582275,0.0005000000237487257
0.09974517673254013,0.2210349589586258,0.7232143878936768,0.04671385511755943,0.22591978311538696,0.7212374806404114,0.0005000000237487257
